"","Var1","X","Freq","meanwage","Occupation.x","percentshare","rank","percentile","Freq.x","meanwage.x","Occupation.x","percentshare.x","Freq.y","meanwage.y","Occupation.y","percentshare.y","Occupation.y","percentchange","meanwagechange"
"46",61,56,90500,1.00639952174744,"Cultivators",43.471,1,0.0108695652173913,1932,113.793523685279,"Cultivators",3.732,1687,142.463398070183,"Cultivators",3.307,"Cultivators",-0.126811594202899,28.6698743849032
"47",62,57,11418,1.29831574095505,"Farmers, Other than Cultivators",5.485,2,0.0217391304347826,224,127.133973415673,"Farmers, Other than Cultivators",0.433,287,164.831511864201,"Farmers, Other than Cultivators",0.563,"Farmers, Other than Cultivators",0.28125,37.6975384485281
"41",55,51,910,2.29642450518432,"Launderers, DryCleaners and Pressers",0.437,3,0.0326086956521739,39,164.281612335945,"Launderers, DryCleaners and Pressers",0.075,37,243.025046220505,"Launderers, DryCleaners and Pressers",0.073,"Launderers, DryCleaners and Pressers",-0.0512820512820513,78.7434338845605
"42",56,52,738,2.59795985899389,"Hair Dressers, Barbers, Beauticians and Related Workers",0.354,4,0.0434782608695652,28,231.520043525236,"Hair Dressers, Barbers, Beauticians and Related Workers",0.054,53,260.223163242203,"Hair Dressers, Barbers, Beauticians and Related Workers",0.104,"Hair Dressers, Barbers, Beauticians and Related Workers",0.892857142857143,28.7031197169669
"17",26,27,174,3.53517330523906,"Working Proprietors, Directors and Managers, Other Services",0.084,5,0.0543478260869565,12,601.252854672682,"Working Proprietors, Directors and Managers, Other Services",0.023,22,659.468515437337,"Working Proprietors, Directors and Managers, Other Services",0.043,"Working Proprietors, Directors and Managers, Other Services",0.833333333333333,58.2156607646546
"29",40,39,4703,3.78888465715249,"Merchants and Shopkeepers, Wholesale and Retail Trade",2.259,6,0.0652173913043478,88,222.651599080641,"Merchants and Shopkeepers, Wholesale and Retail Trade",0.17,106,217.763369513082,"Merchants and Shopkeepers, Wholesale and Retail Trade",0.208,"Merchants and Shopkeepers, Wholesale and Retail Trade",0.204545454545455,-4.88822956755919
"16",25,26,74,3.87992050132836,"Working Proprietors, Directors, Managers and Related Executives, Transport, Storage and Communication",0.036,7,0.0760869565217391,11,911.325381360189,"Working Proprietors, Directors, Managers and Related Executives, Transport, Storage and Communication",0.021,18,1594.35389479942,"Working Proprietors, Directors, Managers and Related Executives, Transport, Storage and Communication",0.035,"Working Proprietors, Directors, Managers and Related Executives, Transport, Storage and Communication",0.636363636363636,683.028513439227
"13",22,23,181,4.27611286946921,"Working Proprietors, Directors and Managers, Wholesale and Retail Trade",0.087,8,0.0869565217391304,15,220.963740099739,"Working Proprietors, Directors and Managers, Wholesale and Retail Trade",0.029,24,667.221031532617,"Working Proprietors, Directors and Managers, Wholesale and Retail Trade",0.047,"Working Proprietors, Directors and Managers, Wholesale and Retail Trade",0.6,446.257291432878
"62",79,72,1563,4.86196606096732,"Tailors, Dress Makers, Sewers, Upholsterers and Related Workers",0.751,9,0.0978260869565217,223,289.617870557282,"Tailors, Dress Makers, Sewers, Upholsterers and Related Workers",0.431,273,293.824331539536,"Tailors, Dress Makers, Sewers, Upholsterers and Related Workers",0.535,"Tailors, Dress Makers, Sewers, Upholsterers and Related Workers",0.224215246636771,4.20646098225438
"63",80,73,385,6.05885841676359,"ShoeMakers and Leather Goods Makers",0.185,10,0.108695652173913,30,518.023505087189,"ShoeMakers and Leather Goods Makers",0.058,37,571.969179526106,"ShoeMakers and Leather Goods Makers",0.073,"ShoeMakers and Leather Goods Makers",0.233333333333333,53.945674438917
"52",67,62,31,6.58840551750748,"Hunters and Related Workers",0.015,11,0.119565217391304,6,497.364473646731,"Hunters and Related Workers",0.012,6,475.561733506078,"Hunters and Related Workers",0.012,"Hunters and Related Workers",0,-21.8027401406522
"53",68,63,886,7.00889554389177,"Fishermen and Related Workers",0.426,12,0.130434782608696,133,295.332858212129,"Fishermen and Related Workers",0.257,129,415.530265246075,"Fishermen and Related Workers",0.253,"Fishermen and Related Workers",-0.0300751879699248,120.197407033946
"50",65,60,1883,7.26529252312018,"Other Farm Workers",0.904,13,0.141304347826087,259,315.87930767816,"Other Farm Workers",0.5,312,313.723495296334,"Other Farm Workers",0.612,"Other Farm Workers",0.204633204633205,-2.15581238182614
"33",44,43,146,7.94274297525735,"Insurance, Real Estates, Securities and Business Service Salesmen and Auctioneers",0.07,14,0.152173913043478,32,421.953772255863,"Insurance, Real Estates, Securities and Business Service Salesmen and Auctioneers",0.062,19,540.833822247906,"Insurance, Real Estates, Securities and Business Service Salesmen and Auctioneers",0.037,"Insurance, Real Estates, Securities and Business Service Salesmen and Auctioneers",-0.40625,118.880049992043
