"","Var1","X","Freq","meanwage","Occupation.x","percentshare","rank","percentile","Freq.x","meanwage.x","Occupation.x","percentshare.x","Freq.y","meanwage.y","Occupation.y","percentshare.y","Occupation.y","percentchange","meanwagechange"
"46",61,56,4370,0.0951853538170354,"Cultivators",4.467,1,0.0108695652173913,4065,0.261903173619074,"Cultivators",3.706,204,1.06823769952169,"Cultivators",0.54,"Cultivators",-94.9815498154982,307.875049683588
"29",40,39,9541,0.237201803117794,"Merchants and Shopkeepers, Wholesale and Retail Trade",9.753,2,0.0217391304347826,8463,1.09685600807386,"Merchants and Shopkeepers, Wholesale and Retail Trade",7.716,133,11.5024264859097,"Merchants and Shopkeepers, Wholesale and Retail Trade",0.352,"Merchants and Shopkeepers, Wholesale and Retail Trade",-98.4284532671629,948.672423840629
"47",62,57,1369,0.280126351199405,"Farmers, Other than Cultivators",1.399,3,0.0326086956521739,1337,0.597223517651803,"Farmers, Other than Cultivators",1.219,38,5.22543999369972,"Farmers, Other than Cultivators",0.101,"Farmers, Other than Cultivators",-97.1578160059835,774.955496435472
"42",56,52,566,0.644399756833033,"Hair Dressers, Barbers, Beauticians and Related Workers",0.579,4,0.0434782608695652,411,3.40358598785737,"Hair Dressers, Barbers, Beauticians and Related Workers",0.375,67,7.70234604573232,"Hair Dressers, Barbers, Beauticians and Related Workers",0.177,"Hair Dressers, Barbers, Beauticians and Related Workers",-83.698296836983,126.300909488145
"36",50,46,765,0.765303895385603,"Hotel and Restaurant Keepers",0.782,5,0.0543478260869565,569,2.11925946159098,"Hotel and Restaurant Keepers",0.519,42,13.447494011265,"Hotel and Restaurant Keepers",0.111,"Hotel and Restaurant Keepers",-92.6186291739894,534.537405871468
"41",55,51,753,0.946543358931737,"Launderers, DryCleaners and Pressers",0.77,6,0.0652173913043478,585,2.7302282214682,"Launderers, DryCleaners and Pressers",0.533,44,10.7386436224689,"Launderers, DryCleaners and Pressers",0.117,"Launderers, DryCleaners and Pressers",-92.4786324786325,293.324028300246
"34",45,44,77,1.60046271181044,"Money Lenders and Pawn Brokers",0.079,7,0.0760869565217391,61,1.77268466175565,"Money Lenders and Pawn Brokers",0.056,8,9.08704170770343,"Money Lenders and Pawn Brokers",0.021,"Money Lenders and Pawn Brokers",-86.8852459016393,412.614674439825
"53",68,63,430,1.6611591786596,"Fishermen and Related Workers",0.44,8,0.0869565217391304,441,4.71318827514702,"Fishermen and Related Workers",0.402,111,11.8518524417736,"Fishermen and Related Workers",0.294,"Fishermen and Related Workers",-74.8299319727891,151.461468328547
"52",67,62,15,1.93262693751526,"Hunters and Related Workers",0.015,9,0.0978260869565217,5,15.6628978170509,"Hunters and Related Workers",0.005,4,64.5023580389555,"Hunters and Related Workers",0.011,"Hunters and Related Workers",-20,311.816247493726
"63",80,73,506,1.99767490304811,"ShoeMakers and Leather Goods Makers",0.517,10,0.108695652173913,414,6.45341521282919,"ShoeMakers and Leather Goods Makers",0.377,140,10.9273039096304,"ShoeMakers and Leather Goods Makers",0.371,"ShoeMakers and Leather Goods Makers",-66.1835748792271,69.3259080541919
"9",18,19,149,2.03799578585555,"Composers and Performing Artists",0.152,11,0.119565217391304,120,6.09938993485681,"Composers and Performing Artists",0.109,24,19.622480535002,"Composers and Performing Artists",0.064,"Composers and Performing Artists",-80,221.712183424499
"33",44,43,680,2.05579598867983,"Insurance, Real Estates, Securities and Business Service Salesmen and Auctioneers",0.695,12,0.130434782608696,668,4.59171688789272,"Insurance, Real Estates, Securities and Business Service Salesmen and Auctioneers",0.609,59,22.6751656992353,"Insurance, Real Estates, Securities and Business Service Salesmen and Auctioneers",0.156,"Insurance, Real Estates, Securities and Business Service Salesmen and Auctioneers",-91.1676646706587,393.827608558019
"62",79,72,2804,2.09057284764214,"Tailors, Dress Makers, Sewers, Upholsterers and Related Workers",2.866,13,0.141304347826087,2592,5.20885355117797,"Tailors, Dress Makers, Sewers, Upholsterers and Related Workers",2.363,752,11.9369906620944,"Tailors, Dress Makers, Sewers, Upholsterers and Related Workers",1.992,"Tailors, Dress Makers, Sewers, Upholsterers and Related Workers",-70.9876543209877,129.167331060689
"61",78,71,1376,2.23044791869475,"Tobacco Preparers and Tobacco Product Makers",1.407,14,0.152173913043478,1382,2.72997113206943,"Tobacco Preparers and Tobacco Product Makers",1.26,187,4.46896921512793,"Tobacco Preparers and Tobacco Product Makers",0.495,"Tobacco Preparers and Tobacco Product Makers",-86.4688856729378,63.70023706955
"39",53,49,1738,2.46286042783571,"Maids and Related House Keeping Services Workers",1.777,15,0.16304347826087,2633,4.68583665189934,"Maids and Related House Keeping Services Workers",2.401,2043,6.17953520368783,"Maids and Related House Keeping Services Workers",5.411,"Maids and Related House Keeping Services Workers",-22.4078997341436,31.8768805392104
"74",91,84,222,2.46588237321079,"Paper and Paper Board Product Makers",0.227,16,0.173913043478261,161,7.69727277837388,"Paper and Paper Board Product Makers",0.147,48,18.4400484033174,"Paper and Paper Board Product Makers",0.127,"Paper and Paper Board Product Makers",-70.1863354037267,139.565998688864
