"","Var1","X","Freq","meanwage","Occupation.x","percentshare","rank","percentile","Freq.x","meanwage.x","Occupation.x","percentshare.x","Freq.y","meanwage.y","Occupation.y","percentshare.y","Occupation.y","percentchange","meanwagechange"
"46",61,56,90500,1.00639952174744,"Cultivators",43.471,1,0.0108695652173913,65774,4.66300556401302,"Cultivators",35.882,1687,142.463398070183,"Cultivators",3.307,"Cultivators",-0.974351567488673,137.80039250617
"47",62,57,11418,1.29831574095505,"Farmers, Other than Cultivators",5.485,2,0.0217391304347826,9699,4.52003823967332,"Farmers, Other than Cultivators",5.291,287,164.831511864201,"Farmers, Other than Cultivators",0.563,"Farmers, Other than Cultivators",-0.97040932054851,160.311473624528
"41",55,51,910,2.29642450518432,"Launderers, DryCleaners and Pressers",0.437,3,0.0326086956521739,430,18.2922836585399,"Launderers, DryCleaners and Pressers",0.235,37,243.025046220505,"Launderers, DryCleaners and Pressers",0.073,"Launderers, DryCleaners and Pressers",-0.913953488372093,224.732762561966
"42",56,52,738,2.59795985899389,"Hair Dressers, Barbers, Beauticians and Related Workers",0.354,4,0.0434782608695652,432,23.3181205027092,"Hair Dressers, Barbers, Beauticians and Related Workers",0.236,53,260.223163242203,"Hair Dressers, Barbers, Beauticians and Related Workers",0.104,"Hair Dressers, Barbers, Beauticians and Related Workers",-0.877314814814815,236.905042739494
"17",26,27,174,3.53517330523906,"Working Proprietors, Directors and Managers, Other Services",0.084,5,0.0543478260869565,207,11.9857837458318,"Working Proprietors, Directors and Managers, Other Services",0.113,22,659.468515437337,"Working Proprietors, Directors and Managers, Other Services",0.043,"Working Proprietors, Directors and Managers, Other Services",-0.893719806763285,647.482731691505
"29",40,39,4703,3.78888465715249,"Merchants and Shopkeepers, Wholesale and Retail Trade",2.259,6,0.0652173913043478,5151,5.26653265992708,"Merchants and Shopkeepers, Wholesale and Retail Trade",2.81,106,217.763369513082,"Merchants and Shopkeepers, Wholesale and Retail Trade",0.208,"Merchants and Shopkeepers, Wholesale and Retail Trade",-0.979421471558921,212.496836853155
"16",25,26,74,3.87992050132836,"Working Proprietors, Directors, Managers and Related Executives, Transport, Storage and Communication",0.036,7,0.0760869565217391,177,31.7673389539103,"Working Proprietors, Directors, Managers and Related Executives, Transport, Storage and Communication",0.097,18,1594.35389479942,"Working Proprietors, Directors, Managers and Related Executives, Transport, Storage and Communication",0.035,"Working Proprietors, Directors, Managers and Related Executives, Transport, Storage and Communication",-0.898305084745763,1562.58655584551
"13",22,23,181,4.27611286946921,"Working Proprietors, Directors and Managers, Wholesale and Retail Trade",0.087,8,0.0869565217391304,253,34.0849062086549,"Working Proprietors, Directors and Managers, Wholesale and Retail Trade",0.138,24,667.221031532617,"Working Proprietors, Directors and Managers, Wholesale and Retail Trade",0.047,"Working Proprietors, Directors and Managers, Wholesale and Retail Trade",-0.905138339920949,633.136125323962
"62",79,72,1563,4.86196606096732,"Tailors, Dress Makers, Sewers, Upholsterers and Related Workers",0.751,9,0.0978260869565217,1260,46.376495613302,"Tailors, Dress Makers, Sewers, Upholsterers and Related Workers",0.687,273,293.824331539536,"Tailors, Dress Makers, Sewers, Upholsterers and Related Workers",0.535,"Tailors, Dress Makers, Sewers, Upholsterers and Related Workers",-0.783333333333333,247.447835926234
"63",80,73,385,6.05885841676359,"ShoeMakers and Leather Goods Makers",0.185,10,0.108695652173913,182,51.3744373162278,"ShoeMakers and Leather Goods Makers",0.099,37,571.969179526106,"ShoeMakers and Leather Goods Makers",0.073,"ShoeMakers and Leather Goods Makers",-0.796703296703297,520.594742209878
