"","Var1","X","Freq","meanwage","Occupation.x","percentshare","rank","percentile","Freq.x","meanwage.x","Occupation.x","percentshare.x","Freq.y","meanwage.y","Occupation.y","percentshare.y","Occupation.y","percentchange","meanwagechange"
"46",61,56,90500,0.112499903803219,"Cultivators",43.471,1,0.0108695652173913,90500,0.112499903803219,"Cultivators",43.471,1687,3.20551021390723,"Cultivators",3.307,"Cultivators",-98.1359116022099,2749.3448487869
"47",62,57,11418,0.145131622986107,"Farmers, Other than Cultivators",5.485,2,0.0217391304347826,11418,0.145131622986107,"Farmers, Other than Cultivators",5.485,287,3.70880592497291,"Farmers, Other than Cultivators",0.563,"Farmers, Other than Cultivators",-97.4864249430724,2455.47746842736
"41",55,51,910,0.25670474830514,"Launderers, DryCleaners and Pressers",0.437,3,0.0326086956521739,910,0.25670474830514,"Launderers, DryCleaners and Pressers",0.437,37,5.46820641966812,"Launderers, DryCleaners and Pressers",0.073,"Launderers, DryCleaners and Pressers",-95.9340659340659,2030.15398264787
"42",56,52,738,0.290411737988467,"Hair Dressers, Barbers, Beauticians and Related Workers",0.354,4,0.0434782608695652,738,0.290411737988466,"Hair Dressers, Barbers, Beauticians and Related Workers",0.354,53,5.85517416380311,"Hair Dressers, Barbers, Beauticians and Related Workers",0.104,"Hair Dressers, Barbers, Beauticians and Related Workers",-92.8184281842818,1916.16305331145
"17",26,27,174,0.395177708427912,"Working Proprietors, Directors and Managers, Other Services",0.084,5,0.0543478260869565,174,0.395177708427913,"Working Proprietors, Directors and Managers, Other Services",0.084,22,14.8384293132137,"Working Proprietors, Directors and Managers, Other Services",0.043,"Working Proprietors, Directors and Managers, Other Services",-87.3563218390805,3654.87508448884
"29",40,39,4703,0.423538714238494,"Merchants and Shopkeepers, Wholesale and Retail Trade",2.259,6,0.0652173913043478,4703,0.423538714238494,"Merchants and Shopkeepers, Wholesale and Retail Trade",2.259,106,4.89980384186229,"Merchants and Shopkeepers, Wholesale and Retail Trade",0.208,"Merchants and Shopkeepers, Wholesale and Retail Trade",-97.7461194981926,1056.87271957463
"16",25,26,74,0.433715113860234,"Working Proprietors, Directors, Managers and Related Executives, Transport, Storage and Communication",0.036,7,0.0760869565217391,74,0.433715113860234,"Working Proprietors, Directors, Managers and Related Executives, Transport, Storage and Communication",0.036,18,35.8738999882944,"Working Proprietors, Directors, Managers and Related Executives, Transport, Storage and Communication",0.035,"Working Proprietors, Directors, Managers and Related Executives, Transport, Storage and Communication",-75.6756756756757,8171.3050207088
"13",22,23,181,0.478003293991743,"Working Proprietors, Directors and Managers, Wholesale and Retail Trade",0.087,8,0.0869565217391304,181,0.478003293991742,"Working Proprietors, Directors and Managers, Wholesale and Retail Trade",0.087,24,15.0128654832302,"Working Proprietors, Directors and Managers, Wholesale and Retail Trade",0.047,"Working Proprietors, Directors and Managers, Wholesale and Retail Trade",-86.7403314917127,3040.74519400478
"62",79,72,1563,0.54349262130373,"Tailors, Dress Makers, Sewers, Upholsterers and Related Workers",0.751,9,0.0978260869565217,1563,0.54349262130373,"Tailors, Dress Makers, Sewers, Upholsterers and Related Workers",0.751,273,6.61122020535026,"Tailors, Dress Makers, Sewers, Upholsterers and Related Workers",0.535,"Tailors, Dress Makers, Sewers, Upholsterers and Related Workers",-82.5335892514395,1116.43237574988
"63",80,73,385,0.677286678216726,"ShoeMakers and Leather Goods Makers",0.185,10,0.108695652173913,385,0.677286678216725,"ShoeMakers and Leather Goods Makers",0.185,37,12.8696428124496,"ShoeMakers and Leather Goods Makers",0.073,"ShoeMakers and Leather Goods Makers",-90.3896103896104,1800.17657608961
"52",67,62,31,0.736481855286684,"Hunters and Related Workers",0.015,11,0.119565217391304,31,0.736481855286683,"Hunters and Related Workers",0.015,6,10.7004185969661,"Hunters and Related Workers",0.012,"Hunters and Related Workers",-80.6451612903226,1352.91000995548
"53",68,63,886,0.783486137876473,"Fishermen and Related Workers",0.426,12,0.130434782608696,886,0.783486137876472,"Fishermen and Related Workers",0.426,129,9.34967526731105,"Fishermen and Related Workers",0.253,"Fishermen and Related Workers",-85.4401805869074,1093.34278110549
"50",65,60,1883,0.812147355290953,"Other Farm Workers",0.904,13,0.141304347826087,1883,0.812147355290953,"Other Farm Workers",0.904,312,7.05896308902909,"Other Farm Workers",0.612,"Other Farm Workers",-83.4306956983537,769.172699146475
"33",44,43,146,0.887875839903652,"Insurance, Real Estates, Securities and Business Service Salesmen and Auctioneers",0.07,14,0.152173913043478,146,0.887875839903652,"Insurance, Real Estates, Securities and Business Service Salesmen and Auctioneers",0.07,19,12.1690789685368,"Insurance, Real Estates, Securities and Business Service Salesmen and Auctioneers",0.037,"Insurance, Real Estates, Securities and Business Service Salesmen and Auctioneers",-86.986301369863,1270.58341061036
"74",91,84,39,0.926220795797572,"Paper and Paper Board Product Makers",0.019,15,0.16304347826087,39,0.926220795797572,"Paper and Paper Board Product Makers",0.019,26,10.118158176587,"Paper and Paper Board Product Makers",0.051,"Paper and Paper Board Product Makers",-33.3333333333333,992.413193754108
"72",89,82,900,0.952608690834936,"Glass Formers, Potters and Related Workers",0.432,16,0.173913043478261,900,0.952608690834937,"Glass Formers, Potters and Related Workers",0.432,139,8.5472070995211,"Glass Formers, Potters and Related Workers",0.272,"Glass Formers, Potters and Related Workers",-84.5555555555556,797.24219207256
"32",43,42,1895,0.994226063344912,"Salesmen, Shop Assistants and Related Workers",0.91,17,0.184782608695652,1895,0.994226063344912,"Salesmen, Shop Assistants and Related Workers",0.91,841,8.95052643595635,"Salesmen, Shop Assistants and Related Workers",1.649,"Salesmen, Shop Assistants and Related Workers",-55.6200527704485,800.250633728487
"77",94,87,1125,1.09761460570197,"Production and Related Workers",0.54,18,0.195652173913043,1125,1.09761460570197,"Production and Related Workers",0.54,422,8.66234435174138,"Production and Related Workers",0.827,"Production and Related Workers",-62.4888888888889,689.197256190066
"36",50,46,438,1.11860747958921,"Hotel and Restaurant Keepers",0.21,19,0.206521739130435,438,1.11860747958921,"Hotel and Restaurant Keepers",0.21,25,7.57375542403479,"Hotel and Restaurant Keepers",0.049,"Hotel and Restaurant Keepers",-94.2922374429224,577.069978721767
"30",41,40,146,1.33088507897537,"Manufacturers' Agents",0.07,20,0.217391304347826,146,1.33088507897537,"Manufacturers' Agents",0.07,69,18.7912399767315,"Manufacturers' Agents",0.135,"Manufacturers' Agents",-52.7397260273973,1311.93558133499
"10",19,20,378,1.3528736693064,"Professional Workers",0.182,21,0.228260869565217,378,1.3528736693064,"Professional Workers",0.182,114,11.1055835009155,"Professional Workers",0.223,"Professional Workers",-69.8412698412698,720.888435696233
"58",75,68,2591,1.45951160094443,"Spinners, Weavers, Knitting, Dyers and Related Workers",1.245,22,0.239130434782609,2591,1.45951160094443,"Spinners, Weavers, Knitting, Dyers and Related Workers",1.245,492,7.59035537332457,"Spinners, Weavers, Knitting, Dyers and Related Workers",0.964,"Spinners, Weavers, Knitting, Dyers and Related Workers",-81.0111925897337,420.061325200358
"64",81,74,1410,1.47406003017289,"Carpenters, Cabinet and Related Wood Workers",0.677,23,0.25,1410,1.4740600301729,"Carpenters, Cabinet and Related Wood Workers",0.677,374,12.660381574298,"Carpenters, Cabinet and Related Wood Workers",0.733,"Carpenters, Cabinet and Related Wood Workers",-73.4751773049645,758.878289564168
"59",76,69,21,1.53940035957078,"Tanners, Fellmongers and Pelt Dressers",0.01,24,0.260869565217391,21,1.53940035957078,"Tanners, Fellmongers and Pelt Dressers",0.01,15,7.03626364331189,"Tanners, Fellmongers and Pelt Dressers",0.029,"Tanners, Fellmongers and Pelt Dressers",-28.5714285714286,357.078212277004
"35",49,45,93,1.55049967055095,"Sales Workers",0.045,25,0.271739130434783,93,1.55049967055094,"Sales Workers",0.045,26,12.639760335011,"Sales Workers",0.051,"Sales Workers",-72.0430107526882,715.205612428134
"1",10,11,103,1.57104927325208,"Mathematicians, Statisticians and Related Workers",0.049,26,0.282608695652174,103,1.57104927325208,"Mathematicians, Statisticians and Related Workers",0.049,14,38.3566089322396,"Mathematicians, Statisticians and Related Workers",0.027,"Mathematicians, Statisticians and Related Workers",-86.4077669902913,2341.46441396081
"39",53,49,701,1.61577760582079,"Maids and Related House Keeping Services Workers",0.337,27,0.293478260869565,701,1.61577760582078,"Maids and Related House Keeping Services Workers",0.337,531,4.46032120916332,"Maids and Related House Keeping Services Workers",1.041,"Maids and Related House Keeping Services Workers",-24.2510699001427,176.047965579865
"71",88,81,268,1.64002257008333,"Jewellery and Precious Metal Workers and Metal Engravers (Except Printing)",0.129,28,0.304347826086957,268,1.64002257008333,"Jewellery and Precious Metal Workers and Metal Engravers (Except Printing)",0.129,164,10.2881213206094,"Jewellery and Precious Metal Workers and Metal Engravers (Except Printing)",0.321,"Jewellery and Precious Metal Workers and Metal Engravers (Except Printing)",-38.8059701492537,527.315837494035
"31",42,41,11,1.71390833063862,"Technical Salesmen and Commercial Travellers",0.005,29,0.315217391304348,11,1.71390833063863,"Technical Salesmen and Commercial Travellers",0.005,11,19.2368827556554,"Technical Salesmen and Commercial Travellers",0.022,"Technical Salesmen and Commercial Travellers",0,1022.39857942038
"15",24,25,364,1.79416869872007,"Working Proprietors, Directors and Managers, Mining Construction, Manufacturing and Related Concerns",0.175,30,0.326086956521739,364,1.79416869872007,"Working Proprietors, Directors and Managers, Mining Construction, Manufacturing and Related Concerns",0.175,45,109.80026606877,"Working Proprietors, Directors and Managers, Mining Construction, Manufacturing and Related Concerns",0.088,"Working Proprietors, Directors and Managers, Mining Construction, Manufacturing and Related Concerns",-87.6373626373626,6019.84068984706
"48",63,58,51687,1.80890211614902,"Agricultural Labourers",24.827,31,0.33695652173913,51687,1.80890211614902,"Agricultural Labourers",24.827,18046,4.51312578687288,"Agricultural Labourers",35.375,"Agricultural Labourers",-65.0859984135276,149.495301408619
"9",18,19,107,1.82371226841412,"Composers and Performing Artists",0.051,32,0.347826086956522,107,1.82371226841411,"Composers and Performing Artists",0.051,24,7.86449165618364,"Composers and Performing Artists",0.047,"Composers and Performing Artists",-77.5700934579439,331.235332041855
"61",78,71,1589,1.88364720432589,"Tobacco Preparers and Tobacco Product Makers",0.763,33,0.358695652173913,1589,1.88364720432589,"Tobacco Preparers and Tobacco Product Makers",0.763,326,3.58604387068019,"Tobacco Preparers and Tobacco Product Makers",0.639,"Tobacco Preparers and Tobacco Product Makers",-79.4839521711768,90.3776812581814
"66",83,76,682,1.9247028519433,"Blacksmiths, Tool-Makers and Machine Tool Operators",0.328,34,0.369565217391304,682,1.92470285194329,"Blacksmiths, Tool-Makers and Machine Tool Operators",0.328,139,15.3957912398911,"Blacksmiths, Tool-Makers and Machine Tool Operators",0.272,"Blacksmiths, Tool-Makers and Machine Tool Operators",-79.6187683284457,699.90483852334
"60",77,70,1209,1.95000660014232,"Food and Beverage Processors",0.581,35,0.380434782608696,1209,1.95000660014232,"Food and Beverage Processors",0.581,327,8.89796956297027,"Food and Beverage Processors",0.641,"Food and Beverage Processors",-72.9528535980149,356.304586985545
"8",17,18,22,2.08849046073697,"Sculptors, Painters, Photographers and Related Creative Artists",0.011,36,0.391304347826087,22,2.08849046073697,"Sculptors, Painters, Photographers and Related Creative Artists",0.011,21,9.27802550232788,"Sculptors, Painters, Photographers and Related Creative Artists",0.041,"Sculptors, Painters, Photographers and Related Creative Artists",-4.54545454545455,344.245529330974
"51",66,61,1066,2.23580114412111,"Forestry Workers",0.512,38,0.41304347826087,1066,2.23580114412111,"Forestry Workers",0.512,267,9.20067039020119,"Forestry Workers",0.523,"Forestry Workers",-74.953095684803,311.515595400501
"5",14,15,61,2.23741281045998,"Jurists",0.029,39,0.423913043478261,61,2.23741281045998,"Jurists",0.029,8,18.7231821032284,"Jurists",0.016,"Jurists",-86.8852459016393,736.822870401782
"2",11,12,14,2.31890241173298,"Economists and Related Workers",0.007,41,0.445652173913043,14,2.31890241173297,"Economists and Related Workers",0.007,1,5.06263228239031,"Economists and Related Workers",0.002,"Economists and Related Workers",-92.8571428571429,118.320195657
"45",60,55,154,2.52281839052823,"Farm Plantation, Dairy and Other Managers and Supervisor",0.074,42,0.456521739130435,154,2.52281839052823,"Farm Plantation, Dairy and Other Managers and Supervisor",0.074,44,15.9121404696551,"Farm Plantation, Dairy and Other Managers and Supervisor",0.086,"Farm Plantation, Dairy and Other Managers and Supervisor",-71.4285714285714,530.728732967712
"11",20,21,7,2.6169294384031,"Elected and Legislative Officials",0.003,44,0.478260869565217,7,2.61692943840311,"Elected and Legislative Officials",0.003,36,7.03040244470125,"Elected and Legislative Officials",0.071,"Elected and Legislative Officials",414.285714285714,168.65082189573
"73",90,83,71,2.72492555979893,"Rubber and Plastics Products Makers",0.034,46,0.5,71,2.72492555979893,"Rubber and Plastics Products Makers",0.034,71,9.47003137001001,"Rubber and Plastics Products Makers",0.139,"Rubber and Plastics Products Makers",0,247.533580723166
"44",59,54,110,2.9624907322783,"Service Workers",0.053,47,0.510869565217391,110,2.96249073227829,"Service Workers",0.053,77,10.0375006220027,"Service Workers",0.151,"Service Workers",-30,238.819646341421
"40",54,50,526,3.02525461168118,"Building Caretakers, Sweepers, Cleaner and Related Workers",0.253,48,0.521739130434783,526,3.02525461168118,"Building Caretakers, Sweepers, Cleaner and Related Workers",0.253,275,10.4993119038836,"Building Caretakers, Sweepers, Cleaner and Related Workers",0.539,"Building Caretakers, Sweepers, Cleaner and Related Workers",-47.7186311787072,247.055479672469
"34",45,44,22,3.11457519917101,"Money Lenders and Pawn Brokers",0.011,49,0.532608695652174,22,3.11457519917101,"Money Lenders and Pawn Brokers",0.011,9,8.97284165556248,"Money Lenders and Pawn Brokers",0.018,"Money Lenders and Pawn Brokers",-59.0909090909091,188.091989493487
"65",82,75,414,3.12563175413802,"Stone Cutters and Carvers",0.199,50,0.543478260869565,414,3.12563175413802,"Stone Cutters and Carvers",0.199,187,8.70516214694699,"Stone Cutters and Carvers",0.367,"Stone Cutters and Carvers",-54.8309178743961,178.508884977324
"38",52,48,307,3.16485732645243,"Cooks, Waiters, Bartenders and Related Workers (Domestic and Institutional)",0.147,51,0.554347826086957,307,3.16485732645243,"Cooks, Waiters, Bartenders and Related Workers (Domestic and Institutional)",0.147,426,7.46660358390796,"Cooks, Waiters, Bartenders and Related Workers (Domestic and Institutional)",0.835,"Cooks, Waiters, Bartenders and Related Workers (Domestic and Institutional)",38.7622149837134,135.92228065072
"78",95,88,3473,3.19438156645261,"Bricklayers and Other Construction Workers",1.668,52,0.565217391304348,3473,3.19438156645262,"Bricklayers and Other Construction Workers",1.668,3759,8.49059487973461,"Bricklayers and Other Construction Workers",7.369,"Bricklayers and Other Construction Workers",8.23495536999712,165.797767207988
"56",73,66,197,3.27653656657573,"Wood Preparation Workers and Paper Makers",0.095,53,0.576086956521739,197,3.27653656657573,"Wood Preparation Workers and Paper Makers",0.095,57,8.38581039459672,"Wood Preparation Workers and Paper Makers",0.112,"Wood Preparation Workers and Paper Makers",-71.0659898477157,155.935199385265
"81",98,91,1556,3.80490611566285,"Transport Equipment Operators",0.747,54,0.58695652173913,1556,3.80490611566285,"Transport Equipment Operators",0.747,1752,14.2180011708102,"Transport Equipment Operators",3.434,"Transport Equipment Operators",12.5964010282776,273.675479462737
"80",97,90,744,3.80669047127942,"Material Handling and Related Equipment Operators, Dockers and Freight Handlers",0.357,55,0.597826086956522,744,3.80669047127942,"Material Handling and Related Equipment Operators, Dockers and Freight Handlers",0.357,694,8.73783649409072,"Material Handling and Related Equipment Operators, Dockers and Freight Handlers",1.36,"Material Handling and Related Equipment Operators, Dockers and Freight Handlers",-6.72043010752688,129.538927843376
"76",93,86,112,3.82849817703787,"Painting",0.054,56,0.608695652173913,112,3.82849817703787,"Painting",0.054,163,10.3575037085131,"Painting",0.32,"Painting",45.5357142857143,170.536989429281
"82",99,92,5467,4.13753221459752,"Labourers",2.626,58,0.630434782608696,5467,4.13753221459751,"Labourers",2.626,4447,7.14817781151215,"Labourers",8.717,"Labourers",-18.6573989390891,72.7642817207046
"69",86,79,25,4.29742935901671,"Broadcasting Station & Sound Equipment Operators & Cinema Projectionists",0.012,59,0.641304347826087,25,4.29742935901672,"Broadcasting Station & Sound Equipment Operators & Cinema Projectionists",0.012,9,6.72960019328251,"Broadcasting Station & Sound Equipment Operators & Cinema Projectionists",0.018,"Broadcasting Station & Sound Equipment Operators & Cinema Projectionists",-64,56.595946810916
"37",51,47,29,4.36393080892939,"House Keepers, Matrons and Stewards (Domestic and Institutional)",0.014,60,0.652173913043478,29,4.36393080892939,"House Keepers, Matrons and Stewards (Domestic and Institutional)",0.014,20,13.4206546474497,"House Keepers, Matrons and Stewards (Domestic and Institutional)",0.039,"House Keepers, Matrons and Stewards (Domestic and Institutional)",-31.0344827586207,207.535917388712
"27",38,37,242,4.40651661078276,"Mail Distributors and Related Workers",0.116,61,0.66304347826087,242,4.40651661078276,"Mail Distributors and Related Workers",0.116,193,17.6774084452481,"Mail Distributors and Related Workers",0.378,"Mail Distributors and Related Workers",-20.2479338842975,301.165138059196
"49",64,59,3067,4.48891046764073,"Plantation Labourers and Related Workers",1.473,62,0.673913043478261,3067,4.48891046764073,"Plantation Labourers and Related Workers",1.473,1266,7.3396380258008,"Plantation Labourers and Related Workers",2.482,"Plantation Labourers and Related Workers",-58.721878056733,63.5060017059852
"67",84,77,603,4.90217212442474,"Machinery Fitters Machine Assemblers and Precision Instrument Makers (Except Electrical)",0.29,63,0.684782608695652,603,4.90217212442473,"Machinery Fitters Machine Assemblers and Precision Instrument Makers (Except Electrical)",0.29,395,13.5519363769204,"Machinery Fitters Machine Assemblers and Precision Instrument Makers (Except Electrical)",0.774,"Machinery Fitters Machine Assemblers and Precision Instrument Makers (Except Electrical)",-34.4941956882255,176.447583498728
"75",92,85,76,5.19322330768055,"Printers and Related Workers",0.037,64,0.695652173913043,76,5.19322330768055,"Printers and Related Workers",0.037,54,10.7134671190566,"Printers and Related Workers",0.106,"Printers and Related Workers",-28.9473684210526,106.29706223516
"7",16,17,5,5.35112553542954,"Poets, Authors, Journalists and Related Workers",0.002,65,0.706521739130435,5,5.35112553542954,"Poets, Authors, Journalists and Related Workers",0.002,6,21.1486414123883,"Poets, Authors, Journalists and Related Workers",0.012,"Poets, Authors, Journalists and Related Workers",20,295.218562382142
"54",71,64,902,5.36404014786596,"Miners, Quarrymen, Well Drillers and Related Workers",0.433,66,0.717391304347826,902,5.36404014786596,"Miners, Quarrymen, Well Drillers and Related Workers",0.433,382,11.6836500245165,"Miners, Quarrymen, Well Drillers and Related Workers",0.749,"Miners, Quarrymen, Well Drillers and Related Workers",-57.649667405765,117.814365710234
"55",72,65,145,5.48723808635879,"Metal Processors",0.07,67,0.728260869565217,145,5.48723808635878,"Metal Processors",0.07,73,15.747212115086,"Metal Processors",0.143,"Metal Processors",-49.6551724137931,186.978838301794
"57",74,67,67,5.62242293718989,"Chemical Processors and Related Workers",0.032,68,0.739130434782609,67,5.62242293718989,"Chemical Processors and Related Workers",0.032,43,13.2537944211442,"Chemical Processors and Related Workers",0.084,"Chemical Processors and Related Workers",-35.8208955223881,135.731010797429
"23",34,33,5,6.41075683160891,"Computing Machine Operator",0.002,69,0.75,5,6.41075683160891,"Computing Machine Operator",0.002,32,23.9012963417154,"Computing Machine Operator",0.063,"Computing Machine Operator",540,272.831117597029
